bandwidth,sigma
0.4,0.2719951149921518
0.1,3.0596918647090576
0.1,1.2886751938775358
0.0,0.0
0.0,0.0
1.8000000000000003,3.7018649451616383
0.1,3.9407399349718375
0.0,0.0
0.30000000000000004,0.0971946401438142
0.1,1.2876638534615978
0.4,0.16393985439552425
2.6,3.1263934991402924
0.1,3.091400194611542
0.0,0.0
8.9,1.8016063273476997
8.9,1.5693063780206669
0.1,4.372278149956673
0.8,4.2919280474240065
0.1,1.2873163717425649
0.1,4.083023831557695
0.7000000000000001,2.898165910075473
0.6,0.07017876868711884
0.4,2.684061136858124
8.9,1.801674376555859
0.4,0.07503562898562505
0.5,2.357303635617741
0.9,4.321457363131069
1.3000000000000003,3.8915702628195183
0.6,1.9564894736275278
8.9,1.5293949907607645
0.5,0.8553646946085781
0.6,0.11401139191562445
0.6,0.1997711082101387
2.4000000000000004,3.043251476103843
0.1,3.568174331715381
0.5,0.2001279854352777
0.1,1.287373077786011
0.9,4.318083577743922
0.5,0.25281710450156086
0.5,0.07147608315247582
8.9,2.612177433631559
1.1,4.392680827422553
0.0,0.0
0.6,0.06194522244521877
0.6,0.06581809238171697
8.9,2.1585831045656523
8.9,1.5698413367849124
1.4000000000000001,3.990927933672643
0.4,0.29363269469226466
2.5000000000000004,3.0591165693736357
0.4,0.04374404399154937
0.1,3.903986974905629
0.6,0.18941992885241205
0.0,0.0
0.1,4.030674172549403
0.8,3.523999699522029
2.8000000000000003,3.357562518214179
8.9,2.185737746415321
0.6,0.7704511190318537
0.1,1.2886682724892153
0.1,3.8801734536125703
2.4000000000000004,2.823454139713849
2.3000000000000003,3.098621200917961
0.6,0.193881334501424
0.1,4.119767264242576
0.1,4.317508513458955
0.1,3.6117376643120815
1.4000000000000001,4.0678045423211415
8.7,1.2884642053542967
0.6,2.8174753419193177
0.6,0.25798138396656123
0.0,0.0
3.0000000000000004,2.4949842973820844
4.9,2.739525367667458
0.1,1.2884922390066933
0.0,0.0
0.1,4.2971572275862
0.5,2.835678304545268
3.1,2.7206173141880474
0.1,0.9141326446477333
0.6,0.18237299547145444
0.6,0.0895654143001937
0.7000000000000001,2.3559414731084427
0.6,0.300235726962853
1.3000000000000003,4.154547865422831
0.6,0.19007173410832617
0.0,0.0
0.1,0.9160983896563731
0.1,1.2876072446786466
1.5000000000000002,4.214593954487043
0.1,3.4851635680610227
0.0,0.0
0.0,0.0
0.7000000000000001,3.2261829065733183
0.1,3.4639029611781944
0.1,1.2871299694100553
0.5,0.33625667607024406
0.1,0.9156281347758525
0.9,4.311638454454108
5.0,2.759750516697186
0.6,0.2984645154689639
0.6,0.1976547657741409
0.1,4.2037275215239
0.5,0.08140627320684407
4.1,2.346482042072385
0.4,2.1593569186139088
0.7000000000000001,3.5231331931807803
0.1,4.4253193248382034
0.9,4.319318167579234
5.3,2.4965811636774293
0.0,0.0
0.5,1.7451286614360004
0.0,0.0
4.0,2.298811056419321
7.0,2.612260767573107
0.7000000000000001,4.150919829247784
1.0,4.136959397673968
0.0,0.0
0.6,0.11449215126527143
0.4,1.169681355021761
8.9,1.9766900936062968
0.1,1.287858395743598
0.4,0.12582842852335233
1.4000000000000001,4.049260143860671
0.1,1.2875165037989804
0.6,0.17658156706383954
0.6,0.11748191308969494
8.9,1.5694139857503464
0.0,0.0
0.0,0.0
0.1,0.9160983896563731
0.4,0.0478856977067578
0.1,2.3589877545479405
0.1,3.4502803178351993
2.8000000000000003,3.0438700806626096
0.0,0.0
0.5,2.324209450431777
1.6,3.8158465448275556
8.9,1.9773818993017294
8.9,2.322337854782794
0.1,4.300664771401376
0.5,0.1522502567131753
0.1,0.9159285539162484
0.1,3.04327283869204
3.0000000000000004,2.7205409718049705
1.7000000000000002,3.82250015236738
0.5,0.8583986905699461
3.5000000000000004,3.767234845510248
0.6,2.775244805877917
0.4,2.0638203650835276
8.9,1.80220077712307
0.1,1.28772735611694
0.1,4.170500712074679
8.9,2.323182436916811
8.9,1.569820760785258
0.1,0.9137552334086855
1.8000000000000003,3.623784508785227
8.9,1.5314632676329099
0.5,1.1636030761132548
0.4,1.3983583077474084
0.6,0.1105207587819607
1.3000000000000003,4.157345750418286
3.4000000000000004,2.7599183583392795
0.1,3.781260124239708
0.1,4.333614631729052
1.2000000000000002,4.101450036982958
0.0,0.0
0.6,0.24479164983289894
0.1,0.9160983896563732
4.2,2.1047448402433857
0.0,0.0
0.0,0.0
0.1,4.3331589509622
0.1,1.2890971913263192
1.3000000000000003,4.241412194957975
0.1,0.9153971975809695
0.4,1.4068624785193495
0.6,3.687270505940039
1.2000000000000002,3.8508944732156207
0.0,0.0
0.0,0.0
0.0,0.0
0.5,0.4341161223528776
0.8,3.5727884592759254
0.5,0.3400873703782577
0.9,4.339253501489811
0.5,0.35345741197229036
0.5,0.2688931326810378
0.1,3.423905534562215
0.6,0.8563822845315396
0.1,4.1076082475061995
8.9,1.5328970076107402
0.1,3.7621860648202587
0.1,0.9141326446477333
0.4,2.2132915001933284
0.1,4.31285282907743
1.1,4.315680234435987
0.1,4.389972317140526
0.1,3.383150329567274
2.4000000000000004,3.546926003984467
6.4,2.611580481054188
1.6,3.670805355774205
0.5,0.32063994804772605
0.1,1.288541061349311
1.3000000000000003,4.29052081717078
0.5,0.08816482243949447
0.6,0.12130187900822664
0.0,0.0
8.9,1.5304963503827675
0.6,0.16685006961418236
2.9000000000000004,3.2220544802559257
0.30000000000000004,0.32862535932560605
1.4000000000000001,3.9978942554011816
0.1,4.107543467302354
0.5,3.1600150761730705
0.1,3.5410818898381398
0.0,0.0
1.7000000000000002,3.285347789988409
0.1,3.824258034429069
0.5,0.29526869640204745
0.4,0.5036804734635566
0.1,4.1602039649064
0.7000000000000001,2.740530079251426
0.5,0.46056944323536025
6.2,2.4735947039406345
0.4,2.965284680186612
0.1,0.9154474469349548
0.1,3.8266831284468603
8.9,2.3238144207237617
0.1,3.819911121553353
0.5,0.1699312989855425
2.0,2.879389238252556
0.1,4.3117926948211815
0.6,0.36271179197976455
0.7000000000000001,3.3991209992848006
0.5,0.328319472522734
0.4,0.34990498770784273
8.9,2.0054275787130744
0.1,3.506907109660644
0.0,0.0
3.3000000000000003,2.2735244949685027
0.1,4.300136524527133
0.6,2.981662164623219
0.9,4.027564881260576
0.5,0.22266118347951247
3.0000000000000004,3.094152108742108
8.4,2.0032393541291267
0.0,0.0
8.0,2.0042268910318093
0.1,4.144893296701178
0.5,0.4124306621169357
8.9,1.80322664520702
0.7000000000000001,4.022616868148571
0.1,4.308724647987396
0.1,3.9839683891434228
0.0,0.0
0.6,0.4053776792671701
0.1,4.39185136414148
0.5,0.3401773709055992
0.6,0.2102976616600827
0.9,4.266007940516066
0.0,0.0
8.9,2.0059684624545158
0.1,1.2868832823537386
0.5,0.3433245997222575
0.1,0.915598042913016
0.1,4.268578522961976
0.6,0.08302795309413298
0.5,0.08455997323271223
0.1,3.8471672169965494
2.4000000000000004,3.2742741879988757
0.6,0.24866008550859695
0.1,3.6257396954445174
1.8000000000000003,3.7755416921119735
0.1,3.770011811672764
0.0,0.0
8.9,2.8605673987656712
0.1,3.478198115200641
2.7,2.7592138307884677
0.1,4.109827381274465
0.6,1.8237517484754888
0.5,0.18540774867966606
0.5,2.5264955432304257
1.8000000000000003,3.284750819677712
0.8,4.262038730201074
3.5000000000000004,2.3467047940336063
0.9,4.062071389795746
0.8,3.7692674162797757
0.1,3.682120191138418
0.6,0.21624312769929938
1.2000000000000002,4.0114196537945395
0.5,0.24800533790314339
0.6,0.857444987808625
0.1,3.0248265191569197
0.1,4.374600162022246
0.1,4.261361511965252
0.5,1.1032633211480651
0.4,1.1228818629680146
0.7000000000000001,3.6488958841095727
0.1,4.037008070781477
0.1,0.9162280687231272
0.6,0.13057327577652303
0.7000000000000001,3.8614560258473825
0.9,4.081516062371964
4.7,2.5912466615364473
0.7000000000000001,3.1001394712256833
0.0,0.0
0.5,0.10245977584662919
0.1,1.2887454033373593
8.9,2.0055924481892227
0.1,3.5045092494506607
0.1,4.307353899999717
0.6,0.13937910955481647
0.1,3.6959646194306264
0.1,3.956876776112646
0.5,2.4419398482628796
0.1,3.4778274419211868
0.1,4.002717095369683
0.0,0.0
0.1,0.9144883424914247
8.9,1.803602145810586
0.0,0.0
2.4000000000000004,3.596126773422875
0.0,0.0
0.0,0.0
0.5,2.990797601647301
0.4,0.058602573882491626
1.6,3.538535009142922
0.1,4.218975914140453
3.1,2.721415352863435
1.9000000000000001,3.3682388733523383
0.1,4.3637485706003885
0.1,0.9131298721860569
0.1,3.6006636759410235
2.8000000000000003,2.4266757167627233
0.1,4.401266007873317
0.0,0.0
0.1,4.385395077021168
0.1,1.287281223758547
0.1,4.372185659100811
0.0,0.0
0.6,0.08025240044589341
2.9000000000000004,3.4042978486977296
2.7,3.0431123963529534
2.5000000000000004,2.590874974065323
2.5000000000000004,3.6908603552123442
0.6,0.188295847918661
8.9,1.5679440854394027
0.0,0.0
8.9,2.0056278802077583
0.0,0.0
0.1,3.606470232269812
3.5000000000000004,2.496345808564768
0.1,4.138216572982611
0.0,0.0
0.7000000000000001,0.21908089648754417
0.4,0.24058051626577184
0.5,1.9484218306207597
3.5000000000000004,2.9715365643988827
0.6,0.3464406277874077
0.0,0.0
1.1,4.24311755847908
1.7000000000000002,3.366591860879582
0.8,3.648893999602499
0.4,2.3163069706478026
8.9,1.5690185058062758
0.1,4.130196944744372
0.5,2.209627862407725
8.9,1.570195163240623
0.30000000000000004,0.3726053167804586
1.6,3.875764622973852
0.1,4.383484051121295
0.1,2.8264319514988765
0.8,4.091813544228915
4.0,3.2857110038681188
1.7000000000000002,3.3833522507270724
0.7000000000000001,3.9300273566016712
0.1,4.261518851891423
0.6,2.577769204205825
0.0,0.0
0.0,0.0
0.1,3.6496581422786236
0.0,0.0
8.9,2.323362430009665
0.0,0.0
8.9,1.5697574978063495
4.5,2.8409115123420965
0.4,0.4521710059297301
2.0,3.518793940719796
0.1,4.2699690542942434
0.0,0.0
1.8000000000000003,3.817707861179815
4.7,2.185841517037571
0.1,4.046509435552362
0.0,0.0
0.0,0.0
0.5,0.14139069082948388
0.0,0.0
2.6,3.126526033837039
0.6,2.4141934029290235
0.0,0.0
2.8000000000000003,3.0082928029446987
0.8,4.043492309725903
0.5,0.24401206105044534
0.0,0.0
0.30000000000000004,0.24286233252974745
2.6,2.889156205130548
3.0000000000000004,3.492880850266341
0.5,0.18694243519715878
0.1,1.2874570619370562
0.6,3.011157983498583
0.1,3.628027518220665
0.4,1.372846241953642
3.3000000000000003,2.6798469976398374
0.0,0.0
0.0,0.0
8.9,2.1840741189888746
2.0,3.434273823809238
8.9,1.5329893967786945
0.0,0.0
0.5,0.14913675838822882
0.1,1.288675193877536
1.8000000000000003,3.3612254960190504
0.0,0.0
0.1,3.3825722647131364
0.6,1.9802688334787852
7.1,3.076884394208985
1.4000000000000001,3.8497194638526575
0.8,3.9890787647770587
0.6,0.32513428944183087
0.1,4.228634896643811
4.5,1.570453469009364
1.4000000000000001,3.9535110526148416
0.1,1.241676521476905
0.4,2.048711279181991
0.5,1.7063299239515957
0.1,3.656715708031707
1.6,3.9178863804814776
8.9,2.004381549275386
2.7,2.954726560664224
8.9,2.0051101327433964
0.0,0.0
0.5,1.6629433879410347
0.1,3.553855549669263
4.9,3.059338555967349
0.6,0.1266947880714804
0.4,1.1845193407807524
0.7000000000000001,3.485497384731661
2.7,3.228907833660604
0.0,0.0
0.1,4.367409640258055
2.3000000000000003,3.1096319358828444
0.5,0.1880782208319096
0.5,0.0990794448541315
0.1,4.25799924241923
0.1,4.0299129755732395
0.1,4.125629761483536
0.1,4.332866490620308
3.6,2.4501038459707645
8.9,2.3471446485634835
1.9000000000000001,3.6506397394629966
0.0,0.0
8.9,1.8022423521518698
6.7,2.7402684870683034
0.7000000000000001,2.9851015177215854
0.6,0.2153624437265301
8.9,1.5317635464767116
0.1,4.3852589250488165
0.1,0.9156381633747336
0.1,4.253281920748357
0.4,1.8029625643345
1.2000000000000002,4.260778916548442
0.1,0.9131298721860569
0.1,4.266060749925331
6.3,2.859298244484191
0.1,4.210699632659517
0.0,0.0
0.0,0.0
0.1,3.491998907192634
8.9,2.3234911782405656
2.4000000000000004,3.0446752282590905
0.6,3.6887272890359952
8.9,1.5694531466788715
8.9,1.569554291164315
0.5,2.455542282423563
8.9,1.7714738297594645
0.1,1.2410072934422756
0.1,0.9157083352789034
8.9,2.3005236576338812
1.1,4.295738440613009
0.0,0.0
0.0,0.0
0.1,4.318870939934356
0.30000000000000004,0.4492613823539332
0.0,0.0
2.6,2.935699260374919
0.6,0.12961351884627376
0.1,3.9309179909134593
4.1,2.132975442173796
8.9,1.5694703060510933
1.8000000000000003,3.5661681372214624
3.9000000000000004,2.4488749026846532
0.5,0.20307406329099204
0.8,3.9887967770226562
0.1,4.316390090545511
0.1,4.253312902429809
0.5,0.14213137646371107
8.9,2.7407549413790084
0.1,4.135677289462452
0.0,0.0
1.4000000000000001,3.8889415441651907
1.3000000000000003,4.163180048216141
0.0,0.0
2.4000000000000004,3.3822947219691772
8.9,1.569857381822728
0.5,0.28480351636162476
8.9,1.5315203174132825
0.6,0.15175886657531043
8.9,1.5308869280940733
0.8,3.839388756366139
0.1,0.9156381633747336
0.6,2.6813834318191176
0.0,0.0
8.3,2.8603888508182864
0.5,0.24735756912673132
0.6,3.151517692698022
0.1,0.9162280687231272
8.9,2.0059631697720097
0.5,0.2317728876091672
0.1,3.3021858874053196
0.1,0.9157684432612252
3.8000000000000003,2.8779686178000303
0.0,0.0
0.9,4.305478028625216
0.6,0.2803826097033846
1.2000000000000002,4.340608520654586
0.6,0.06384263789410115
1.6,3.617745011793586
1.2000000000000002,4.256098698520159
5.8,1.8014302880464619
1.0,4.330974746447552
0.4,0.806906132951461
0.0,0.0
0.1,4.291988114117995
0.1,0.9163476226500492
0.1,3.698995352270241
0.30000000000000004,0.838375571182232
0.0,0.0
0.5,0.0570082530498102
0.5,3.2766965432803645
2.7,2.69974370978229
0.1,3.6411853271342003
0.6,0.33947458766216637
0.0,0.0
1.4000000000000001,3.725530433318523
0.4,1.4141776178959864
0.5,0.28164412260515825
0.1,4.370308435698409
0.1,3.4129687717194326
0.1,4.271523730665857
8.9,1.5698184621257547
0.1,4.284831014947916
0.0,0.0
0.1,1.242383565390815
0.30000000000000004,0.40892381560055896
1.4000000000000001,3.8459828174468313
0.7000000000000001,2.8093706763525144
0.1,3.9538708909624285
3.9000000000000004,2.9552109091276253
0.9,4.246539208258496
0.1,4.3081856782249695
2.2,3.7806442107120266
1.4000000000000001,4.124063954170408
1.3000000000000003,4.001170296733443
0.6,3.5344737941041484
2.9000000000000004,3.0428842776674005
0.5,0.2962729662248968
0.1,4.151892385367516
0.1,3.416036165673415
0.1,4.39798202365231
5.9,2.4738698538330532
2.1,3.1791249058478166
0.0,0.0
1.4000000000000001,4.066921362439928
0.0,0.0
8.9,2.0056157414246316
0.1,3.9692635036207724
0.0,0.0
0.6,0.06255208005728331
0.1,2.38754782458799
0.1,3.397307956126937
0.0,0.0
0.5,0.2894881718714875
1.4000000000000001,3.8883072501990523
0.1,4.206117980957064
0.1,3.4646494644454404
0.1,1.2879451265765989
0.6,0.5363686092605829
2.0,3.9800130029057095
0.1,2.9562786116431874
1.9000000000000001,3.704381281568782
7.3,2.1846221173857945
0.1,4.40445512132768
0.5,0.22677642763583306
8.9,2.322247863091989
0.1,3.256756245079009
0.30000000000000004,0.4604828890155488
0.5,0.4744584215288187
8.9,2.004815027045435
0.1,3.3419787520985276
3.4000000000000004,2.591706404511266
0.6,1.8207314885176955
0.1,1.2408541052695647
0.5,0.03614594403687075
0.1,4.0545256956577544
0.1,4.254775025735563
8.9,1.974966916548559
1.3000000000000003,3.814784614546649
8.9,1.5697828392245767
1.3000000000000003,4.144146229894657
1.5000000000000002,4.103848459519611
8.9,2.3476285906256282
5.7,2.3481212095186184
4.2,2.6319680410241517
0.1,3.6052467078977415
0.5,0.22534664583719977
0.7000000000000001,3.3414311953320435
0.1,3.6421819676021157
0.0,0.0
0.1,4.338550337588267
0.0,0.0
0.1,4.092437773592929
0.1,3.205793273779319
0.1,4.018456797764095
0.5,0.4277362537064576
0.1,3.226965065732004
3.5000000000000004,2.450393424406168
1.9000000000000001,3.093821615825702
0.1,3.4204631230628353
0.6,0.09986124341215931
8.9,1.80357274575246
0.5,2.50017095950142
0.0,0.0
0.1,3.6336817636387955
8.9,1.7699144976685728
0.0,0.0
8.9,2.0065208682207762
0.6,0.3775101218523587
0.1,2.7401097690267333
0.6,0.11056553787752656
1.3000000000000003,4.301718802662443
1.4000000000000001,3.9534321449399648
0.0,0.0
0.1,4.339816792311562
0.0,0.0
1.5000000000000002,3.7917851676517427
0.5,0.08582234776223714
0.30000000000000004,0.8385108022903818
1.2000000000000002,4.146305737024432
1.4000000000000001,2.0057843442145424
8.9,2.157943294379036
1.0,4.339313345004255
0.1,4.366726813596721
0.6,1.4623036877939035
1.0,4.292220300819022
0.30000000000000004,0.8346920931088688
0.5,0.35151045897322264
0.5,0.38759991486610174
0.1,3.9287944903161867
0.9,4.2037551762799525
0.1,3.2999676437289964
0.0,0.0
0.6,3.4440921266687434
0.6,4.034787196982842
0.4,1.4039239676949848
0.0,0.0
8.9,2.0053551943694217
0.0,0.0
0.1,4.209786008967397
0.1,4.420505345664435
0.0,0.0
0.1,0.9159285539162484
0.4,2.334562179814556
2.0,3.6000123121835244
0.1,3.8703988691719
0.1,1.2416363796699479
8.9,1.802129947828392
0.6,2.3431845981798816
0.6,0.05518884584402394
0.7000000000000001,0.30590266946798755
0.1,3.398252659678603
8.9,1.5688870628738352
8.9,1.5692822721610367
0.5,0.3391646978320293
1.6,3.5520504220295526
3.2,3.3187147659616754
1.2000000000000002,4.308810448284391
0.1,4.371521911980368
0.1,3.742188691341723
0.5,0.09957289935672343
8.9,1.8034840341545109
0.5,2.1007773404292687
7.2,2.3483379871634913
0.1,4.203227084741524
0.4,0.8822086373139816
0.6,0.2047149614054138
0.1,3.8971851878981476
2.9000000000000004,2.9246770131059914
0.7000000000000001,3.0435191560053307
2.9000000000000004,2.7193901705888677
0.4,1.4173928056086043
0.0,0.0
0.1,1.9333155481985984
0.1,3.9806229805166713
8.9,2.3231911105380947
0.1,3.586541831640767
0.6,3.3667835023165495
2.3000000000000003,2.347085192302846
0.5,0.07183072361865106
0.0,0.0
8.9,1.8036862268590037
1.4000000000000001,4.199833468510503
1.2000000000000002,4.310452143100119
0.0,0.0
2.4000000000000004,2.9158712745827846
8.9,1.803248300496836
0.0,0.0
1.8000000000000003,3.413238447086798
0.1,4.202359628324383
0.1,1.287980641254789
0.1,4.07229738960005
0.1,0.9154474469349548
1.4000000000000001,4.243851613651702
0.0,0.0
0.5,0.057653479102391304
8.9,2.4611494317890323
0.6,0.034344587743205354
3.2,2.6331399648170155
1.7000000000000002,3.6512217559146554
1.0,4.334594398605266
0.0,0.0
3.3000000000000003,2.450088730300564
0.1,4.240248089512588
8.9,2.004692725381517
2.1,3.435832576082393
1.0,4.295931220923298
0.0,0.0
0.1,4.3382242901199115
0.1,0.9156381633747336
8.9,1.8036998457166808
0.0,0.0
3.0000000000000004,2.6803295832235077
0.1,0.9160484680539457
0.0,0.0
0.1,3.9906169916543632
0.6,0.8408409596336508
0.1,0.9161981577823607
0.1,0.9153971975809695
0.1,4.346442416066008
0.1,0.9149034062761274
8.9,1.5703101173588627
0.6,0.309659018176516
1.0,4.304859261759787
0.6,1.3897448476357084
0.1,0.9156381633747336
0.1,1.2889074410658015
3.1,2.404004977569095
1.2000000000000002,4.132988222082455
0.5,0.19980339543422332
1.0,4.328080778804736
0.5,2.299621708711583
0.9,4.250419533789724
4.8,1.9467192805897124
0.1,3.8864423197272453
4.2,2.7606407931153303
7.8,2.496466486726687
0.6,0.23308582096332078
0.6,0.2194975932204742
0.0,0.0
0.1,3.7496060652213665
0.0,0.0
0.1,0.9161482862241455
2.5000000000000004,3.0422732633681555
8.9,2.6120862564873866
0.5,0.30726653932968456
2.7,2.590239061040094
0.6,0.21634370127143462
6.4,2.4498544273520997
0.0,0.0
0.0,0.0
0.1,3.8448929911982535
1.6,3.874516653976434
0.1,4.12014186491969
2.6,3.5820355197833273
4.1,1.9475879481113951
0.4,0.3759535436762845
0.1,3.3689995111083806
6.3,2.3481531985989608
0.1,0.9154474469349548
8.9,1.8029243385543618
0.0,0.0
0.1,4.390800994847919
0.1,0.9156381633747336
0.7000000000000001,3.318798563689589
0.1,3.6409759337781455
0.1,1.2869600339219136
0.0,0.0
0.7000000000000001,1.8020194775309009
0.1,3.599051384940979
0.0,0.0
0.1,4.082366343044233
2.5000000000000004,3.025662320626435
0.5,2.8093266009827547
0.1,3.786117203295476
0.1,0.9156381633747336
5.6,1.8030264069237083
7.7,2.1850174033637906
0.0,0.0
0.1,1.2875222228562124
0.1,4.248717436327934
0.1,4.081231989452754
0.6,2.1205070758012754
0.1,4.317114045077541
3.0000000000000004,3.412589322710288
0.1,4.043146682495121
0.0,0.0
0.1,0.9143665321390827
2.3000000000000003,3.6068035116763144
0.5,0.19603595666714307
0.9,4.284580170970846
0.0,0.0
0.1,4.392692309834815
