bandwidth,sigma
0.5,0.2643707328572106
8.9,2.953335040064403
0.0,0.0
0.0,0.0
0.0,0.0
1.9000000000000001,4.064751030843457
3.9000000000000004,3.6799846212164486
0.0,0.0
0.7000000000000001,0.09837341511989883
8.9,2.450833645345946
0.7000000000000001,0.12790589654573362
8.9,2.494702193111737
0.5,3.1624820061472
0.0,0.0
0.1,1.8025117118336353
8.9,2.4497582504961564
1.4000000000000001,4.4336762817782045
1.3000000000000003,4.254576570993566
0.1,1.2886192057497001
2.8000000000000003,4.124662576294672
0.8,2.311218689170559
0.6,0.06823422298993723
0.5,2.8614256155933377
0.1,1.8001799545563606
0.9,0.07882116765330549
0.9,0.5809949239908027
1.3000000000000003,4.238904874679776
1.9000000000000001,4.074230052469924
0.5,2.4387251821426057
8.9,2.132545248234092
0.5,0.44313238307829106
0.8,0.12833727554736135
0.30000000000000004,0.19016893765971266
8.9,2.7214470135760727
2.4000000000000004,3.5582323363595685
0.7000000000000001,0.204643855712972
0.0,0.0
1.5000000000000002,4.363922859176827
0.8,0.2510735025619439
0.8,0.07502722170990232
8.9,2.9543833936140533
1.4000000000000001,4.40747283001185
0.1,1.8040257825647887
0.8,0.05961049551431957
0.8,0.0607889481647266
0.1,1.286947459514482
0.0,0.0
5.5,3.786355330952031
0.7000000000000001,0.2506654740791122
8.9,2.1846312551749816
0.8,0.037813441939127106
2.3000000000000003,4.104128332930293
0.8,0.2264821441889954
0.0,0.0
2.8000000000000003,3.7121453652228054
1.1,3.543886139394879
8.9,2.69925762432834
8.9,2.9550724481932713
0.2,0.3631318347903244
0.0,0.0
2.5000000000000004,3.6014687922016155
8.9,2.698614661681366
8.6,2.451892059912943
0.8,0.2306840220242839
2.2,4.167341953272428
1.2000000000000002,4.3518884446351285
1.0,3.4336812735188222
1.9000000000000001,3.8641190187468943
0.1,1.8032241391029662
0.8,2.678531045747641
0.8,0.2572426172057945
0.0,0.0
0.1,1.803483932824113
8.9,2.760968315957048
0.0,0.0
0.0,0.0
1.3000000000000003,4.303391633707655
0.7000000000000001,2.8663590286483545
4.7,3.1274609589064037
0.1,1.2890691408562618
0.7000000000000001,0.20213603156627183
0.8,0.09383491520785729
0.9,2.6276489299668713
0.8,0.26155348253736665
2.8000000000000003,4.0247723012250365
0.7000000000000001,0.23590966959640022
0.0,0.0
0.0,0.0
0.1,1.288998933743813
1.7000000000000002,4.309688959344852
0.8,3.583201930618269
0.0,0.0
0.0,0.0
1.1,3.0952099772409003
2.7,3.54477371486481
0.0,0.0
0.9,0.2672760371395626
0.0,0.0
1.2000000000000002,4.3081793729969515
8.9,2.496019391215414
0.2,0.349386404584339
0.7000000000000001,0.21992919230357139
1.4000000000000001,4.199540044888464
0.6,0.09263942596185133
8.9,2.9176275437597474
0.8,1.8646661570135987
1.2000000000000002,3.820741877289356
1.3000000000000003,4.3923757610461145
1.6,4.2216867864059395
0.0,0.0
0.0,0.0
0.9,2.2099174708277403
0.0,0.0
0.1,1.1941461995980713
0.1,1.288998933743813
1.1,4.184014689760706
1.1,3.8960693037019922
0.0,0.0
0.7000000000000001,0.1254517784529019
0.5,0.5143443053545427
8.3,2.453144342040171
0.1,1.802435043055198
0.8,0.10362430563510712
1.7000000000000002,4.277339017808237
0.0,0.0
0.6,0.2027549308704082
0.8,0.11753168757064911
0.1,1.288998933743813
0.1,1.2867335121446388
0.0,0.0
0.1,1.2886192057497001
0.7000000000000001,0.04419818593017802
0.4,2.237378911973471
8.9,3.159009900980038
4.8,2.918161730715438
0.0,0.0
1.0,1.6089753663101463
8.8,2.7206129232369447
0.1,1.2891533429438038
8.9,3.140834672555041
1.5000000000000002,4.228092353038767
0.8,0.12367945838751801
0.0,0.0
8.9,2.4944176345889426
8.9,2.4947061172988416
0.1,4.296028054667679
0.7000000000000001,0.47261398497527296
4.2,3.4792833120513307
0.7000000000000001,3.1592905271804157
0.5,1.6148899992414247
8.9,2.4954437830664546
0.1,1.287686622567705
3.2,3.311431213816894
0.1,1.2893496177606505
0.1,1.2887599658661228
0.0,0.0
3.6,3.6814345786868974
1.0,2.186079912055155
0.6,1.1541231666216107
0.4,1.5978516284412132
0.5,0.11089813024298772
1.5000000000000002,4.366558399106576
8.9,2.955254290472726
1.1,3.729645435677987
1.8000000000000003,4.269288483188252
2.9000000000000004,3.846716053916674
0.0,0.0
0.8,0.2344904325155281
0.0,0.0
4.7,3.1933721366014978
0.0,0.0
0.0,0.0
1.2000000000000002,4.255716858287966
0.1,1.2885346816980285
2.4000000000000004,4.294232537993434
0.0,0.0
0.8,1.1733500768829024
1.1,3.8183400333999233
1.9000000000000001,4.0420654308041595
0.1,1.2865192373209111
0.0,0.0
0.0,0.0
0.8,1.5884380784307968
1.0,3.6398674965807283
0.8,0.2935652255153896
1.4000000000000001,4.245225427247727
0.6,0.36581326525116054
0.8,0.3135828148628368
0.9,2.926108332440655
0.8,0.33739668242342613
1.2000000000000002,4.001509015770556
0.1,1.288998933743813
3.3000000000000003,3.0609376263236983
0.1,1.2886192057497001
0.4,2.1978154117415754
1.7000000000000002,4.2610864165288325
1.3000000000000003,4.281970775008016
1.3000000000000003,4.346484510079734
8.9,2.9188050266143404
8.9,2.1317934339734883
8.9,2.452648054176876
2.2,4.424329329040986
0.7000000000000001,0.3015282776922061
0.0,0.0
1.7000000000000002,4.321763556200433
0.6,0.09270226487086418
0.8,0.07939648826172338
0.0,0.0
0.0,0.0
0.7000000000000001,0.1876517437848147
8.9,2.497294686383471
0.7000000000000001,0.27332813172297327
1.7000000000000002,4.2034010711169145
1.4000000000000001,4.234736275782767
1.0,3.1743713072423834
6.6,3.5997624513868662
0.0,0.0
8.9,2.7202456846773835
2.7,3.787149516714384
0.7000000000000001,0.2945884026626598
0.9,0.4479662466921518
2.0,3.8319740043672317
0.6,3.448440497515768
0.6,0.4459986122139195
8.9,2.132774215815455
0.5,2.6874414542274034
0.0,0.0
1.1,4.0765208875378525
8.9,2.452207320085013
1.1,3.9739470191617015
0.6,0.16416540753275652
8.9,2.9909729714060327
1.4000000000000001,4.338042098311677
0.6,0.3014657593608076
0.9,2.5130695512379146
0.6,0.3158255862206666
0.8,0.417587340143027
0.1,1.7378951721319227
3.7,3.2811765060408704
0.0,0.0
4.3,3.534861416536256
1.8000000000000003,4.371144959678586
0.7000000000000001,2.25116851418509
1.1,3.5482200981613725
0.8,0.2205175398277835
8.8,2.991080789953036
0.1,1.8011344263797586
0.0,0.0
8.9,2.494358026607123
1.2000000000000002,4.29697311371611
0.8,0.42362346258828976
0.1,1.2893496177606505
1.1,3.554348610367056
2.1,4.145512346766557
2.4000000000000004,3.9704217508394515
0.0,0.0
0.9,1.0808920808738334
1.5000000000000002,4.398561032518879
0.8,0.30389207519481104
0.8,0.1664335484501983
1.3000000000000003,4.32058033260773
0.0,0.0
8.9,2.130967700242252
0.0,0.0
0.9,0.2775878994332278
0.1,1.8041536104329179
1.4000000000000001,4.349748817296525
0.8,0.06514871035117366
0.7000000000000001,0.09280140472553985
5.7,3.4784780159071436
0.1,3.6275159231354177
0.7000000000000001,0.26656048847530617
1.2000000000000002,4.190854608847186
2.9000000000000004,3.8358225719414474
1.1,3.960018241978232
0.0,0.0
8.5,3.093344921627483
2.9000000000000004,3.6019587105079696
8.9,2.4966434527737267
1.5000000000000002,4.295614921189498
0.4,0.5182799865631175
0.7000000000000001,0.15916644201942365
1.0,2.6419792253156418
8.9,3.125082801207437
1.3000000000000003,4.3639822136169455
0.1,1.288998933743813
1.1,3.8192009900381834
1.0,3.815484369138889
8.9,3.787148913054542
0.8,0.1677598369185482
1.9000000000000001,4.265081571325405
0.7000000000000001,0.2021855385882137
0.7000000000000001,0.4402485308056437
0.9,2.7152698814684793
1.9000000000000001,4.000152492816907
1.1,4.228769129751278
0.7000000000000001,1.1205357964602425
0.9,1.1771883029976704
0.8,3.6678218378178746
1.1,3.611089191346851
0.0,0.0
0.8,0.11487104438814136
0.9,3.4468341681114225
1.2000000000000002,4.244060774512599
8.9,2.1851085683300018
0.9,2.223832524000124
0.1,1.289181399056122
0.8,0.09846160406303106
0.0,0.0
0.1,1.2867335121446388
1.1,3.9334626554514562
1.3000000000000003,4.307499232533509
0.8,0.13892014294016683
3.0000000000000004,3.7599186096422477
1.1,4.188549795787034
1.0,2.3952117581997707
8.9,2.9551991527031536
2.3000000000000003,3.660259840257291
0.0,0.0
0.0,0.0
8.9,2.989494196558298
0.0,0.0
2.7,3.946475652308625
0.0,0.0
0.0,0.0
0.7000000000000001,2.513040750861164
0.7000000000000001,0.05936702727558408
2.9000000000000004,3.7117805513714033
2.1,3.9785384896570357
8.9,2.99013056819888
8.9,2.4961114284792716
1.6,4.285751389864399
0.0,0.0
8.9,3.3239273921146393
8.9,2.7226256171910816
1.6,4.261422488522492
0.1,1.2886473690972102
1.7000000000000002,4.317684810970769
8.9,2.1865574405786568
1.7000000000000002,4.257004329122797
0.0,0.0
0.6,0.08947790032547419
5.7,2.954260763030777
3.7,3.1257191753274807
7.0,2.4039230825695044
3.2,3.6016092978475287
0.5,0.1551775371832907
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
8.2,3.6548832133449443
8.9,2.1830731718707876
1.4000000000000001,4.389104627071453
0.0,0.0
0.7000000000000001,0.21296543524715328
0.8,0.1696868470066533
0.9,1.8893457180145794
8.9,2.989219855437024
0.8,0.36135966565259386
0.0,0.0
1.2000000000000002,4.272592137993439
5.2,2.919163514506151
1.2000000000000002,3.5030454254925987
0.9,1.6794162119497023
8.9,2.449381154124104
2.3000000000000003,4.104324918548103
0.6,1.8938578185099777
0.0,0.0
0.8,0.3786917489293927
2.7,3.823755275310566
0.1,4.329382991079725
0.9,2.922119959984315
1.0,3.772665401308677
2.6,3.3106523206811382
2.0,4.11646465763497
1.0,3.5993732626431547
2.2,3.9226173938957545
0.9,2.2772878679097794
0.0,0.0
0.0,0.0
1.0,3.62433416377935
0.0,0.0
8.9,2.720723910505218
0.0,0.0
8.6,2.0763457736506674
0.1,1.669646820723894
0.5,0.5263370518214986
8.9,3.34337330998368
1.3000000000000003,4.339304412170265
0.0,0.0
2.5000000000000004,4.012710417046758
8.9,2.1328418003313634
2.9000000000000004,4.15672256345307
0.0,0.0
0.0,0.0
0.9,0.1282914801213188
0.0,0.0
8.9,2.1862867275904354
0.7000000000000001,1.259245184676403
0.0,0.0
8.9,2.4507487871513534
1.0,3.8946619771457542
0.8,0.2511902750690355
0.0,0.0
0.8,0.2554382474152615
3.5000000000000004,3.3749446350079606
8.9,2.990423437113864
0.8,0.2128536112065684
0.0,0.0
0.9,2.464065991253655
0.6,3.9216859179425008
0.5,0.4653389855546571
5.6,3.192979691863299
0.0,0.0
0.0,0.0
0.1,1.735025316742321
8.9,2.760761516142231
0.1,1.286947459514482
0.0,0.0
0.8,0.17023653212237186
0.0,0.0
3.1,3.520106000765522
0.0,0.0
8.9,2.9905093932427143
1.0,2.473596137833248
8.9,3.312441193683997
2.3000000000000003,3.945977190553453
1.3000000000000003,4.061841944953137
0.4,0.33090827863508093
1.8000000000000003,4.286334172948356
0.1,1.2848220725057178
2.2,4.1655615130082495
0.1,1.2883513710005392
0.8,0.45495686080097575
0.8,1.1324576265724722
2.7,3.9355289769566104
3.0000000000000004,3.5734766296247233
0.1,1.8015478030662135
3.1,3.309094493764187
8.8,2.9904132449079515
8.9,2.185329464286555
0.8,2.2189124850871047
3.7,3.7491245053428512
2.6,3.8363267486763277
0.8,0.15613402877623778
0.8,2.118638270813742
1.1,2.716657231896705
4.0,3.126071413383404
0.1,1.2887458962213694
1.6,4.319914209034403
2.3000000000000003,2.952693826149936
0.6,0.16651286184215078
0.6,0.09042652114175552
1.1,4.218306528893942
0.1,4.293664212127877
1.6,4.3111449123991585
1.4000000000000001,4.350123536825784
0.1,1.8031749957806287
8.9,2.1865571093794696
3.2,4.044939549560167
0.0,0.0
0.1,1.2890691408562618
4.9,2.639789599659799
1.0,2.2825326302694324
0.5,0.24273508762558155
0.0,0.0
1.4000000000000001,4.309474023021915
0.0,0.0
1.5000000000000002,4.327172844821615
1.0,0.45658256028850613
1.6,4.345632561535818
0.1,1.2887599658661228
1.6,4.260958171887768
8.8,2.7597554697833884
1.1,4.014552118078028
0.0,0.0
0.0,0.0
8.9,2.4510353067029693
8.9,2.49278781750349
3.0000000000000004,3.761315524766207
0.9,2.9004166217978278
0.0,0.0
0.1,1.2867335121446388
0.5,2.6383862945949006
8.9,2.4961345221580133
8.9,2.721621717362665
0.0,0.0
0.0,0.0
1.4000000000000001,4.363259959248167
0.0,0.0
0.1,1.801808500686667
1.0,4.006567253643844
0.9,0.4093855105322744
0.0,0.0
8.9,2.4966932272933327
0.7000000000000001,0.1346883014169407
1.1,3.7071379750228948
8.6,2.4965218561463125
0.0,0.0
2.3000000000000003,4.023877337246559
5.5,3.5085080555445933
0.7000000000000001,0.1816287423575388
1.0,3.775970985801311
1.3000000000000003,4.32773702875203
1.8000000000000003,4.093482667267182
0.6,0.1599892834797774
6.4,2.989888854924682
1.7000000000000002,4.0982588235180195
0.0,0.0
1.8000000000000003,4.085012469677075
1.5000000000000002,4.149572956089151
0.0,0.0
3.9000000000000004,2.881085467050311
0.0,0.0
0.9,0.29825227069896293
0.0,0.0
0.8,0.14233884162871563
8.9,2.1865571093794696
1.0,3.4010343354367913
0.0,0.0
0.9,2.2621565944255635
0.1,1.2865192373209111
8.9,2.1325647362907856
0.7000000000000001,0.26140969908859324
1.0,2.840446080951949
0.9,2.184161083818656
0.1,1.2887599658661228
0.8,0.22735469588775864
0.6,3.3036497170940806
0.0,0.0
8.9,3.1609363125324585
0.0,0.0
1.7000000000000002,4.355097951036463
0.7000000000000001,0.25649379706957326
1.8000000000000003,4.151379909953041
0.8,0.06634226619778348
2.9000000000000004,3.9204594645604063
1.6,4.251768406318878
0.0,0.0
1.6,4.343628106164822
0.30000000000000004,0.42485824222328084
0.0,0.0
1.2000000000000002,4.203823484994997
0.0,0.0
4.3999999999999995,2.88053540545348
0.2,0.35581118773647147
0.0,0.0
0.7000000000000001,0.05744588662949042
0.9,2.439025441980288
3.9000000000000004,3.3113408683365653
2.9000000000000004,3.4207185774754336
0.8,0.4009904513784583
0.1,1.2883372602309864
2.7,3.76197145269477
0.4,0.3780704833791016
0.8,0.24412127737439826
1.7000000000000002,4.437576153571186
7.8,3.343011514770423
1.4000000000000001,4.362481493468514
0.1,1.2887458962213694
1.7000000000000002,4.415905274832079
0.0,0.0
0.0,0.0
0.6,0.280322102465452
1.9000000000000001,4.247932983225695
1.0,2.866674192344519
1.1,3.7661828195991824
8.9,2.1860085674790213
1.4000000000000001,4.301322880793519
1.2000000000000002,4.336990727471302
2.0,4.367756788623423
1.5000000000000002,4.371229308781681
3.3000000000000003,3.9046841623266664
0.9,3.360971423064973
8.9,2.4517631800185833
0.8,0.28934944242672705
1.4000000000000001,4.341198080986086
0.8,3.4632999093664956
1.4000000000000001,4.427940215965083
0.7000000000000001,2.9913064846431987
3.5000000000000004,3.748546356638435
0.0,0.0
0.1,4.233689039354066
0.0,0.0
0.1,1.2867335121446388
2.5000000000000004,4.123502752070267
0.0,0.0
0.8,0.07249506202973263
0.4,2.8566648711101794
8.9,3.161050367740764
0.0,0.0
0.9,0.27802444903629203
3.0000000000000004,3.3872675140787494
1.2000000000000002,3.9187581593129104
3.0000000000000004,3.760786180810135
0.1,1.8026137689485464
0.5,1.2176124412751332
2.7,3.9578685766751156
0.8,3.177804011829792
6.8,2.4055994569285626
0.1,1.2882949193868707
1.3000000000000003,4.3249956856442004
0.6,0.2104437307188424
8.9,2.7606380316862316
1.1,3.8685078857671815
0.7000000000000001,0.40708302598042917
0.5,0.4724997783440676
0.1,1.289181399056122
8.9,2.761044289468469
8.9,2.4512443028679844
0.8,1.25859291533242
0.1,1.192449040499533
0.8,0.03806685642811525
2.8000000000000003,3.9578209073855777
1.4000000000000001,4.227504683139382
8.9,2.9902478763474813
2.5000000000000004,3.5032490243121246
0.0,0.0
1.7000000000000002,4.441554868274846
2.4000000000000004,4.004510894781936
0.0,0.0
8.8,2.7214864123074904
8.9,2.1864935727195847
2.0,4.240228527098505
0.8,0.21359215469361645
0.9,3.0670491301086598
3.8000000000000003,2.8780936342358263
0.0,0.0
1.4000000000000001,4.254776240217471
0.0,0.0
2.6,3.836408484831734
3.6,3.4337244440457595
0.8,3.4890553688531405
0.8,1.1194841225429166
0.5,3.1921901001913615
0.1,1.8041339716775067
8.9,2.9908248559645405
2.3000000000000003,3.968441248955596
0.9,0.10258118760036382
0.1,1.8032668845104725
0.7000000000000001,3.40762583888595
0.0,0.0
8.8,3.1612649133499713
8.9,2.1855949664422547
0.0,0.0
8.9,2.450362430874466
0.30000000000000004,1.15563695594847
0.1,1.803700976910008
0.7000000000000001,0.11181867434184016
1.7000000000000002,4.341814932007559
4.6,3.0739310868501057
0.0,0.0
1.4000000000000001,4.3863119391481575
0.0,0.0
2.9000000000000004,3.449298641352063
0.8,0.0853732915609238
0.9,0.3870612087612597
2.9000000000000004,3.8137010187909213
0.1,1.2848220725057178
8.9,2.4980166045093615
1.2000000000000002,4.195280165153953
1.5000000000000002,4.433101525337214
0.8,1.6812341087436502
1.5000000000000002,4.300840460499683
0.8,0.43616935000174145
0.9,0.2860319256069601
0.8,0.4177378919270327
1.0,4.047215099360543
1.2000000000000002,4.143054158874003
1.1,3.6009372124087826
0.1,1.2886192057497001
0.9,2.885388456877288
1.0,3.998473142237914
0.5,1.197917546166515
0.0,0.0
0.1,1.8042225608465583
0.0,0.0
1.6,4.40089582033553
1.6,4.244438511734614
0.0,0.0
0.0,0.0
1.0,1.639438025015352
2.2,3.77233439503061
2.1,4.356489984808726
0.0,0.0
0.1,1.2867335121446388
0.9,1.9243373163875581
0.8,0.06554187620852556
0.6,0.3365522371657715
2.6,3.6008444468903265
0.1,1.8037895882308028
0.0,0.0
0.6,0.34984207310168514
2.7,3.7362868218454865
4.9,3.4516819006332757
2.2,4.095644010023886
1.3000000000000003,4.248940066189142
2.0,4.256774020221281
0.8,0.13760273477811966
0.1,1.8034938654174009
0.9,1.2326805295285268
0.1,1.801797070082243
1.2000000000000002,4.1331757770735305
0.2,0.5425713747663843
0.8,0.19217769690901298
3.4000000000000004,3.279920086847827
5.7,3.7868370658542605
0.7000000000000001,2.883853397053668
5.2,3.3718040666360998
0.4,1.5845450119624165
0.0,0.0
0.9,2.4151821179099366
2.1,4.1769400124576
0.1,1.288998933743813
3.4000000000000004,3.126624339882798
0.8,3.096483256142184
8.9,1.8037108685423064
0.9,0.07179231423016373
0.0,0.0
0.1,1.2891533429438038
